,,,,Kentucky Department of Education ,,,,,,,,,
191 Gallatin County,90,421,84,101,133,119,133,151,97,54,73,0,1456
195 Garrard County,178,621,205,229,198,205,195,208,179,154,149,0,2521
197 Glasgow Independent,173,518,158,149,170,155,139,169,143,117,126,13,2030
201 Grant County,269,923,293,347,299,300,313,384,238,235,149,32,3782
205 Graves County,350,995,337,344,357,393,361,412,338,326,295,0,4508
211 Grayson County,293,1061,317,321,336,298,320,351,282,329,261,18,4187
215 Green County,139,402,130,120,114,133,139,171,148,127,127,0,1750
221 Greenup County,222,786,277,241,258,272,248,290,262,266,189,0,3311
225 Hancock County,115,390,132,144,156,118,120,128,107,93,113,0,1616
231 Hardin County,900,2802,981,989,1063,1093,1044,1189,1197,1086,894,164,13402
235 Harlan County,323,1188,417,443,390,384,417,486,389,393,280,0,5110
236 Harlan Independent,81,222,62,67,61,67,55,81,78,65,75,0,914
241 Harrison County,226,706,320,261,245,266,223,311,234,219,195,0,3206
242 Harrodsburg Independent,69,277,82,85,81,78,79,62,57,56,43,0,969
245 Hart County,174,561,222,185,178,186,192,199,191,165,140,0,2393
246 Hazard Independent,76,224,79,77,72,90,68,87,97,92,81,0,1043
251 Henderson County,495,1615,499,541,568,581,545,564,649,573,494,3,7127
255 Henry County,146,507,165,180,179,161,158,208,162,148,103,0,2117
261 Hickman County,73,181,62,67,64,55,72,66,56,52,43,0,791
265 Hopkins County,481,1714,551,573,579,566,585,624,511,503,411,0,7098
271 Jackson County,144,553,207,211,217,182,198,235,200,143,133,20,2443
272 Jackson Independent,52,130,47,41,47,40,38,34,41,30,17,0,517
275 Jefferson County,6991,21463,7197,7361,7149,6870,6326,8598,7371,6064,5045,3463,93898
276 Jenkins Independent,57,128,33,50,41,33,36,30,50,44,41,0,543
281 Jessamine County,521,1637,566,569,620,539,512,563,493,435,386,0,6841
285 Johnson County,266,887,299,280,303,286,338,311,293,281,240,1,3785
291 Kenton County,871,2882,958,1032,971,1047,984,1121,931,847,723,80,12447
295 Knott County,214,690,271,241,216,199,221,276,237,193,183,16,2957
301 Knox County,400,1168,426,413,394,379,359,372,370,297,258,61,4897
305 LaRue County,152,539,178,219,191,184,182,165,176,183,172,43,2384
311 Laurel County,699,2127,743,692,696,647,697,820,604,560,490,28,8803
315 Lawrence County,167,636,222,234,255,238,236,255,195,199,179,0,2816
321 Lee County,101,318,122,100,104,126,112,112,101,86,73,5,1360
325 Leslie County,153,505,169,170,185,173,184,190,177,177,139,0,2222
331 Letcher County,236,852,276,298,321,312,275,334,288,255,223,2,3672
335 Lewis County,178,614,216,196,204,195,192,220,201,159,149,0,2524
341 Lincoln County,307,1009,340,341,319,334,323,385,293,263,195,29,4138
345 Livingston County,80,338,110,144,135,131,104,143,93,91,93,0,1462
351 Logan County,245,768,263,251,267,263,257,252,254,216,236,5,3277
354 Ludlow Independent,62,249,84,91,92,90,100,93,68,72,50,0,1051
361 Lyon County,72,247,88,89,82,88,63,81,81,68,51,0,1010
365 Madison County,763,2329,763,781,740,730,730,700,676,596,530,65,9403
371 Magoffin County,177,570,215,213,187,177,194,212,181,189,154,15,2484
375 Marion County,215,756,241,236,245,239,218,259,212,216,219,5,3061
381 Marshall County,319,1096,364,378,435,410,365,377,398,343,305,25,4815
385 Martin County,196,614,208,227,210,190,180,206,190,179,147,0,2547
391 Mason County,248,614,215,220,222,235,197,247,218,185,175,10,2786
392 Mayfield Independent,129,349,131,134,128,112,105,119,108,113,89,0,1517
395 McCracken County,548,1587,506,514,537,553,526,629,504,507,471,24,6906
401 McCreary County,271,826,254,269,290,315,227,316,327,258,208,0,3561
405 McLean County,128,356,132,111,132,144,126,151,128,136,94,22,1660
411 Meade County,323,919,367,353,344,343,411,460,397,349,358,14,4638
415 Menifee County,68,258,88,79,108,90,107,120,98,85,102,0,1203
421 Mercer County,152,519,168,159,177,156,183,180,144,164,152,4,2158
425 Metcalfe County,123,400,139,132,136,132,130,140,121,70,91,13,1627
426 Middlesboro Independent,135,432,115,130,126,164,121,228,181,124,102,21,1879
431 Monroe County,173,496,176,173,146,158,149,156,152,146,128,0,2053
435 Montgomery County,269,929,363,342,315,327,293,317,309,274,245,0,3983
436 Monticello Independent,52,195,66,74,87,73,81,57,52,47,45,0,829
441 Morgan County,161,496,198,187,156,203,190,188,188,178,144,0,2289
445 Muhlenberg County,387,1174,384,393,422,399,354,438,403,374,326,54,5108
446 Murray Independent,144,413,129,143,109,117,110,127,100,113,133,0,1638
451 Nelson County,318,961,394,358,370,374,337,387,395,361,341,54,4650
452 Newport Independent,210,726,256,215,190,242,220,237,196,157,122,0,2771
455 Nicholas County,94,275,99,87,91,90,81,100,90,74,70,10,1161
461 Ohio County,299,921,323,301,294,323,302,373,320,297,266,11,4030
465 Oldham County,704,2165,710,711,762,739,709,735,730,660,624,29,9278
471 Owen County,128,470,141,168,184,161,173,181,141,109,102,6,1964
472 Owensboro Independent,326,1017,402,316,323,302,277,314,284,276,247,0,4084
475 Owsley County,60,236,57,56,72,61,67,78,80,67,74,9,917
476 Paducah Independent,273,835,251,270,246,214,246,266,224,207,148,28,3208
477 Paintsville Independent,54,167,41,66,53,55,47,54,96,79,92,1,805
478 Paris Independent,55,179,57,51,55,67,46,58,33,52,37,0,690
481 Pendleton County,195,690,232,255,258,236,258,206,241,213,169,9,2962
485 Perry County,337,1166,365,362,377,366,344,444,358,263,238,101,4721
491 Pike County,797,2560,843,823,844,850,772,947,812,741,680,46,10715
492 Pikeville Independent,105,256,95,94,99,105,104,104,92,98,91,0,1243
493 Pineville Independent,57,163,45,45,46,53,45,57,43,42,44,0,640
495 Powell County,195,610,199,191,214,207,213,254,191,162,162,24,2622
496 Providence Independent,42,106,27,40,35,30,30,27,33,26,27,4,427
501 Pulaski County,547,1698,574,615,639,590,613,758,573,541,442,64,7654
502 Raceland Independent,77,218,80,88,80,78,65,85,86,77,59,0,993
505 Robertson County,24,94,22,43,39,23,32,46,26,23,25,0,397
511 Rockcastle County,211,678,242,246,255,240,257,257,215,218,191,16,3026
515 Rowan County,205,664,269,266,243,230,229,276,246,224,196,7,3055
521 Russell County,236,611,235,217,203,231,242,258,190,157,152,19,2751
522 Russell Independent,149,469,143,159,193,154,161,191,190,183,149,0,2141
523 Russellville Independent,106,329,114,96,104,105,83,100,80,99,91,6,1313
524 Science Hill Independent,51,175,51,52,49,54,32,0,0,0,0,0,464
525 Scott County,491,1504,525,478,492,486,428,526,393,410,351,28,6112
531 Shelby County,352,1312,450,400,434,410,416,490,391,380,326,31,5392
533 Silver Grove Independent,24,66,23,26,27,27,30,33,23,17,13,0,309
535 Simpson County,242,726,248,223,266,286,214,252,206,197,213,5,3078
536 Somerset Independent,123,355,111,133,134,125,130,146,137,108,109,10,1621
537 Southgate Independent,28,69,18,22,17,26,16,0,0,0,0,0,196
541 Spencer County,174,556,173,186,171,172,161,199,211,121,116,8,2248
545 Taylor County,162,601,194,212,225,192,217,207,194,228,173,0,2605
551 Todd County,154,532,159,165,190,174,145,148,149,136,126,0,2078
555 Trigg County,153,497,163,201,169,165,196,176,141,147,115,0,2123
561 Trimble County,117,411,121,125,144,132,113,134,99,108,108,0,1612
565 Union County,173,552,166,171,197,188,163,211,219,199,280,0,2519
567 Walton-Verona Independent,83,247,73,73,84,82,95,81,80,86,67,0,1051
571 Warren County,869,2616,849,900,860,868,850,1013,811,831,759,10,11236
575 Washington County,126,385,145,136,153,139,132,174,186,167,113,2,1858
581 Wayne County,212,575,180,216,183,197,214,289,214,179,150,10,2619
585 Webster County,133,445,158,160,158,173,155,173,155,134,149,3,1996
586 West Point Independent,18,60,13,16,25,23,12,0,0,0,0,0,167
591 Whitley County,390,1141,405,387,387,373,339,386,331,246,251,45,4681
592 Williamsburg Independent,58,181,66,58,52,66,56,75,67,60,52,10,801
593 Williamstown Independent,78,197,69,50,60,70,55,51,43,53,44,0,770
595 Wolfe County,116,305,118,98,112,83,110,118,110,111,87,4,1372
601 Woodford County,269,895,306,293,303,314,318,341,322,283,234,1,3879
,,,,,,,,,,,,,
Grand Total:,47868,151430,50847,51261,51495,50709,48671,56539,49371,44049,38644,5946,646830
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,1,,,
