,,,,,,Kentucky Department of Education ,,,,,,,
435 Montgomery County,277,988,349,329,324,306,292,359,313,298,249,1,4085
436 Monticello Independent,47,223,80,87,89,83,65,62,50,52,65,0,903
441 Morgan County,174,506,182,159,200,184,170,207,214,157,146,0,2299
445 Muhlenberg County,359,1191,403,410,379,358,377,470,426,333,363,49,5118
446 Murray Independent,145,406,139,114,107,107,101,100,112,131,98,0,1560
451 Nelson County,326,1001,352,362,351,320,328,428,372,356,346,52,4594
452 Newport Independent,250,744,226,207,254,223,202,263,215,122,142,1,2849
455 Nicholas County,88,284,91,94,94,82,92,102,82,77,84,12,1182
461 Ohio County,287,968,303,299,326,290,331,373,311,304,247,11,4050
465 Oldham County,656,2055,681,699,711,671,740,733,651,655,639,23,8914
471 Owen County,142,463,170,165,138,154,150,169,140,123,122,9,1945
472 Owensboro Independent,335,1071,359,337,302,274,266,345,318,240,235,86,4168
475 Owsley County,83,206,51,73,53,70,74,90,73,79,55,15,922
476 Paducah Independent,314,876,273,273,232,254,230,290,224,179,181,29,3355
477 Paintsville Independent,53,176,66,43,57,50,53,55,64,66,57,2,742
478 Paris Independent,68,174,53,54,66,48,53,40,58,35,39,0,688
481 Pendleton County,210,714,252,245,238,259,192,245,220,202,171,9,2957
485 Perry County,353,1175,361,367,377,345,376,514,332,255,255,147,4857
491 Pike County,851,2552,834,826,861,782,826,1020,827,786,728,49,10942
492 Pikeville Independent,75,281,90,108,86,106,102,88,110,107,98,0,1251
493 Pineville Independent,41,188,46,47,57,55,55,52,44,49,51,0,685
495 Powell County,214,628,202,216,203,197,217,226,198,189,164,14,2668
496 Providence Independent,47,103,38,36,34,29,34,26,36,27,18,3,431
501 Pulaski County,529,1809,629,646,571,633,574,703,669,509,496,73,7841
502 Raceland Independent,78,226,95,78,79,69,70,94,88,74,73,0,1024
505 Robertson County,28,93,47,38,18,37,41,25,26,26,24,0,403
511 Rockcastle County,214,692,238,235,252,251,222,243,228,206,185,14,2980
515 Rowan County,190,729,277,247,237,225,243,282,231,228,196,4,3089
521 Russell County,241,658,211,206,223,234,223,226,200,165,155,7,2749
522 Russell Independent,134,449,163,195,175,164,188,192,182,183,156,0,2181
523 Russellville Independent,92,365,95,113,107,86,98,84,99,103,103,9,1354
524 Science Hill Independent,45,172,47,55,56,32,40,0,0,0,0,0,447
525 Scott County,463,1505,451,476,463,444,476,431,448,386,350,21,5914
531 Shelby County,395,1287,390,394,403,409,428,430,439,374,267,25,5241
533 Silver Grove Independent,22,60,20,25,22,27,18,23,15,15,23,6,276
535 Simpson County,235,737,227,269,281,239,238,231,222,221,182,5,3087
536 Somerset Independent,84,353,120,142,140,137,117,173,122,125,119,10,1642
537 Southgate Independent,30,59,20,19,28,18,26,0,0,0,0,0,200
541 Spencer County,184,494,182,160,162,159,174,237,139,119,96,2,2108
545 Taylor County,204,536,223,219,179,210,196,186,251,183,172,0,2559
551 Todd County,196,499,163,190,179,146,145,173,165,134,90,0,2080
555 Trigg County,142,511,186,176,160,197,147,187,152,124,105,0,2087
561 Trimble County,132,386,127,141,132,111,123,115,104,121,85,0,1577
565 Union County,208,554,174,184,212,181,189,246,217,198,216,0,2579
567 Walton-Verona Independent,80,244,70,83,77,96,83,91,82,69,81,0,1056
571 Warren County,835,2680,879,843,841,857,869,952,885,820,741,0,11202
575 Washington County,142,393,138,153,133,139,119,233,234,147,145,2,1978
581 Wayne County,188,597,212,170,195,216,184,327,210,158,165,9,2631
585 Webster County,124,443,158,150,156,154,137,183,168,146,141,5,1965
586 West Point Independent,19,56,14,21,18,12,15,0,0,0,0,0,155
591 Whitley County,397,1169,378,384,359,336,349,390,314,272,243,42,4633
592 Williamsburg Independent,58,197,62,47,64,56,67,61,64,52,57,10,795
593 Williamstown Independent,64,196,50,57,67,58,54,46,54,47,37,0,730
595 Wolfe County,98,343,94,107,84,115,112,151,111,111,75,6,1407
601 Woodford County,287,894,292,302,309,314,292,385,335,265,247,6,3928
,,,,,,,,,,,,,
Grand Total:,48053,153306,51390,50528,50332,49043,49037,56802,50285,43134,39760,6192,647862
