					Kentucky Department of Education 									
071	Bullitt County	831	"2,696"	928	933	"1,053"	996	960	"1,051"	841	724	706	3	"11,722"
														
072	Burgin Independent	26	105	34	43	33	40	34	44	33	39	20	0	451
														
075	Butler County	170	510	148	161	138	158	201	209	197	173	141	10	"2,216"
														
081	Caldwell County	120	470	173	175	144	154	173	191	166	156	142	17	"2,081"
														
085	Calloway County	199	612	207	221	253	246	226	239	230	228	244	10	"2,915"
														
091	Campbell County	391	"1,028"	349	309	347	357	380	503	335	364	347	0	"4,710"
														
092	Campbellsville Independent	107	291	75	101	92	90	122	89	87	96	96	0	"1,246"
														
095	Carlisle County	67	167	71	51	82	64	69	91	59	50	50	3	824
														
101	Carroll County	151	425	134	145	166	161	165	179	153	108	118	4	"1,909"
														
105	Carter County	400	"1,149"	373	398	413	371	404	461	341	330	264	67	"4,971"
														
111	Casey County	190	551	174	195	220	200	182	208	189	165	161	0	"2,435"
														
113	Caverna Independent	72	164	66	61	80	59	69	71	47	57	51	10	807
														
115	Christian County	847	"2,484"	737	731	774	759	680	784	717	566	451	68	"9,598"
														
121	Clark County	433	"1,252"	426	444	410	434	455	431	452	382	333	34	"5,486"
														
125	Clay County	306	901	301	302	306	307	338	388	302	237	232	57	"3,977"
														
131	Clinton County	153	402	106	119	123	122	132	142	134	100	91	5	"1,629"
														
132	Cloverport Independent	28	89	22	22	18	17	26	19	27	18	20	0	306
														
133	Corbin Independent	174	500	158	161	160	200	204	184	209	182	157	12	"2,301"
														
134	Covington Independent	421	"1,088"	334	305	320	325	354	346	281	221	199	72	"4,266"
														
135	Crittenden County	101	296	93	100	122	116	108	127	92	102	85	0	"1,342"
														
141	Cumberland County	81	243	86	84	98	86	101	113	96	82	61	0	"1,131"
														
143	Danville Independent	126	419	145	153	140	147	147	169	150	120	97	11	"1,824"
														
145	Daviess County	943	"2,529"	797	791	773	824	830	948	845	784	805	215	"11,084"
														
146	Dawson Springs Independent	53	161	62	53	58	50	49	64	44	49	40	0	683
														
147	Dayton Independent	100	252	94	81	72	89	89	108	79	80	53	4	"1,101"
														
149	East Bernstadt Independent	65	183	57	53	59	46	41	0	0	0	0	0	504
														
151	Edmonson County	156	440	161	157	163	148	155	168	170	141	209	22	"2,090"
														
152	Elizabethtown Independent	167	536	170	175	170	177	196	227	176	183	169	0	"2,346"
														
155	Elliott County	96	267	85	101	94	97	93	100	86	73	89	19	"1,200"
														
156	Eminence Independent	47	131	44	50	47	39	36	36	33	25	235	0	723
														
157	Erlanger-Elsmere Independent	193	574	168	188	190	186	187	201	179	136	125	0	"2,327"
														
161	Estill County	220	563	185	197	201	233	205	215	203	152	129	34	"2,537"
														
162	Fairview Independent	56	146	51	61	56	70	77	63	69	70	60	0	779
														
165	Fayette County	"2,775"	"8,468"	"2,630"	"2,729"	"2,873"	"2,746"	"2,650"	"3,152"	"2,502"	"2,225"	"1,938"	0	"34,688"
														
171	Fleming County	169	557	193	196	205	219	202	219	210	188	159	0	"2,517"
														
175	Floyd County	497	"1,588"	493	522	482	505	584	621	500	492	434	0	"6,718"
														
176	Fort Thomas Independent	163	501	134	149	173	189	195	226	200	197	195	0	"2,322"
														
177	Frankfort Independent	51	160	59	51	70	74	74	102	91	93	90	0	915
														
181	Franklin County	480	"1,401"	471	428	433	488	502	535	439	393	325	0	"5,895"
														
185	Fulton County	46	143	60	49	41	69	78	73	67	45	54	4	729
														
186	Fulton Independent	48	100	39	29	37	37	39	44	34	35	38	0	480
														
191	Gallatin County	133	351	147	124	129	115	121	178	96	98	68	0	"1,560"
														
195	Garrard County	200	572	193	209	209	208	221	249	195	157	125	0	"2,538"
														
197	Glasgow Independent	154	480	156	161	151	174	158	171	149	114	128	3	"1,999"
														
201	Grant County	301	893	293	285	306	310	342	332	288	271	219	35	"3,875"
														
205	Graves County	344	"1,115"	346	350	355	340	360	458	391	290	277	0	"4,626"
														
211	Grayson County	292	991	339	327	330	336	333	374	299	314	257	30	"4,222"
														
215	Green County	123	353	129	151	116	137	126	138	146	130	116	0	"1,665"
														
221	Greenup County	259	726	227	258	277	275	263	315	232	201	194	0	"3,227"
														
225	Hancock County	105	361	110	119	131	127	150	153	115	112	111	0	"1,594"
														
231	Hardin County	958	"3,006"	906	"1,005"	"1,036"	"1,109"	"1,149"	"1,357"	"1,174"	"1,075"	921	197	"13,893"
														
235	Harlan County	290	"1,073"	374	336	375	400	425	438	344	349	282	0	"4,686"
														
236	Harlan Independent	83	246	76	67	68	55	71	67	72	53	61	0	919
														
241	Harrison County	278	672	232	257	237	281	269	284	256	230	232	12	"3,240"
														
242	Harrodsburg Independent	106	191	84	67	71	80	79	80	70	57	47	0	932
														
245	Hart County	196	574	173	185	177	221	190	207	195	175	170	25	"2,488"
														
246	Hazard Independent	81	195	70	61	63	77	65	72	82	70	67	0	903
														
251	Henderson County	551	"1,544"	564	491	525	523	553	689	598	527	471	0	"7,036"
														
255	Henry County	147	466	185	159	159	181	186	212	157	142	150	11	"2,155"
														
261	Hickman County	76	194	53	60	67	59	74	66	52	64	52	0	817
														
265	Hopkins County	530	"1,727"	550	538	561	562	599	640	537	499	421	0	"7,164"
														
271	Jackson County	206	499	161	177	161	201	191	229	180	147	116	15	"2,283"
														
272	Jackson Independent	49	159	48	62	41	57	41	46	37	26	34	0	600
														
275	Jefferson County	"7,191"	"21,953"	"6,976"	"6,761"	"6,760"	"7,103"	"7,231"	"8,779"	"7,480"	"6,065"	"5,787"	"3,197"	"95,283"
														
276	Jenkins Independent	41	161	33	52	52	39	54	57	47	29	24	0	589
														
281	Jessamine County	538	"1,715"	538	501	580	584	600	680	496	453	423	0	"7,108"
														
285	Johnson County	288	866	268	318	302	285	290	324	284	259	227	0	"3,711"
														
291	Kenton County	955	"2,879"	931	"1,016"	"1,024"	"1,007"	"1,034"	"1,175"	960	934	749	65	"12,729"
														
295	Knott County	201	599	224	214	251	250	226	258	184	177	175	1	"2,760"
														
301	Knox County	409	"1,120"	345	370	403	395	402	443	375	284	268	84	"4,898"
														
305	LaRue County	183	508	182	203	171	191	224	211	191	170	122	58	"2,414"
														
311	Laurel County	703	"2,215"	756	645	685	773	709	890	648	619	480	28	"9,151"
														
315	Lawrence County	194	515	161	219	257	244	252	248	243	194	165	0	"2,692"
														
321	Lee County	85	272	101	94	86	118	102	115	114	93	57	8	"1,245"
														
325	Leslie County	151	467	155	156	177	150	165	191	179	159	122	0	"2,072"
														
331	Letcher County	264	784	269	269	272	266	302	348	263	217	222	10	"3,486"
														
335	Lewis County	206	577	215	190	198	214	191	210	185	164	140	0	"2,490"
														
341	Lincoln County	325	"1,023"	353	353	314	334	337	330	321	320	284	44	"4,338"
														
345	Livingston County	92	265	116	112	105	101	142	149	121	88	93	0	"1,384"
														
351	Logan County	240	808	259	279	270	278	274	300	244	259	216	6	"3,433"
														
354	Ludlow Independent	66	199	88	82	70	77	94	81	80	74	72	0	983
														
361	Lyon County	78	201	69	73	90	89	92	90	87	65	64	0	998
														
365	Madison County	837	"2,499"	750	708	802	789	776	793	721	706	574	132	"10,087"
														
371	Magoffin County	191	553	181	172	176	221	225	239	159	154	122	0	"2,393"
														
375	Marion County	257	750	242	236	263	246	235	291	218	224	186	0	"3,148"
														
381	Marshall County	382	"1,031"	368	358	378	374	408	436	403	324	273	31	"4,766"
														
385	Martin County	190	543	171	183	195	208	227	230	188	158	98	0	"2,391"
														
391	Mason County	239	657	203	197	216	214	215	243	219	176	186	8	"2,773"
														
392	Mayfield Independent	138	402	116	119	114	125	131	135	111	95	81	0	"1,567"
														
395	McCracken County	557	"1,590"	515	551	566	524	556	652	544	490	453	23	"7,021"
														
401	McCreary County	268	733	232	245	300	250	264	355	323	237	247	0	"3,454"
														
405	McLean County	160	346	86	126	126	127	113	129	135	115	113	43	"1,619"
														
411	Meade County	380	"1,109"	305	299	376	430	399	428	347	403	383	15	"4,874"
														
415	Menifee County	80	235	74	84	90	86	87	116	118	99	124	0	"1,193"
														
421	Mercer County	153	520	180	202	193	183	191	187	174	181	157	7	"2,328"
														
425	Metcalfe County	127	364	112	126	151	142	139	174	116	100	88	22	"1,661"
														
426	Middlesboro Independent	141	389	125	126	145	128	135	191	155	119	126	15	"1,795"
														
431	Monroe County	173	482	136	159	167	175	176	165	129	138	126	0	"2,026"
														
435	Montgomery County	362	"1,050"	303	317	366	339	351	394	357	237	224	0	"4,300"
														
436	Monticello Independent	65	226	55	71	62	85	73	72	65	61	43	0	878
														
441	Morgan County	166	492	158	168	168	184	191	175	207	174	140	0	"2,223"
														
445	Muhlenberg County	421	"1,203"	381	384	405	392	395	465	416	331	424	0	"5,217"
														
446	Murray Independent	154	432	149	144	134	142	156	127	140	122	126	0	"1,826"
														
451	Nelson County	331	"1,005"	304	326	362	395	400	544	357	301	337	76	"4,738"
														
452	Newport Independent	203	607	170	196	186	220	188	194	194	135	120	0	"2,413"
														
455	Nicholas County	101	288	80	82	88	107	86	112	94	68	72	15	"1,193"
														
461	Ohio County	318	898	296	327	315	318	323	325	319	262	281	57	"4,039"
														
465	Oldham County	775	"2,484"	810	878	856	821	814	837	790	713	682	47	"10,507"
														
471	Owen County	151	422	159	147	155	146	184	202	149	142	101	3	"1,961"
														
472	Owensboro Independent	407	"1,021"	303	304	285	297	294	346	291	259	237	38	"4,082"
														
475	Owsley County	67	176	75	69	57	58	62	73	52	57	57	9	812
														
476	Paducah Independent	303	757	228	270	208	219	218	265	205	190	148	24	"3,035"
														
477	Paintsville Independent	58	181	55	54	57	58	69	57	95	106	196	0	986
														
478	Paris Independent	55	175	69	60	58	64	55	53	57	44	53	0	743
														
481	Pendleton County	207	585	206	228	254	225	254	239	245	226	162	23	"2,854"
														
485	Perry County	319	"1,039"	343	341	365	371	352	374	308	290	234	90	"4,426"
														
491	Pike County	706	"2,334"	791	792	789	834	818	903	832	686	624	49	"10,158"
														
492	Pikeville Independent	114	275	78	96	100	114	90	124	87	97	92	0	"1,267"
														
493	Pineville Independent	42	157	41	53	47	55	43	45	47	43	48	0	621
														
495	Powell County	205	616	185	197	201	210	205	213	211	179	177	27	"2,626"
														
496	Providence Independent	29	134	36	32	24	28	40	27	34	27	31	0	442
														
501	Pulaski County	609	"1,796"	562	553	613	597	667	773	631	560	531	0	"7,892"
														
502	Raceland Independent	71	231	72	66	74	78	91	97	97	70	72	0	"1,019"
														
505	Robertson County	27	80	30	34	35	34	44	45	27	31	39	0	426
														
511	Rockcastle County	225	653	227	208	233	258	258	286	232	219	193	0	"2,992"
														
515	Rowan County	227	695	202	202	215	269	276	292	248	211	193	1	"3,031"
														
521	Russell County	260	671	207	210	203	242	235	227	241	233	198	16	"2,943"
														
522	Russell Independent	174	514	158	158	162	170	166	192	162	171	174	0	"2,201"
														
523	Russellville Independent	114	278	81	76	97	99	91	111	98	74	90	6	"1,215"
														
524	Science Hill Independent	54	146	61	48	70	47	43	0	0	0	0	0	469
														
525	Scott County	556	"1,693"	528	522	559	564	491	560	489	429	418	50	"6,859"
														
531	Shelby County	431	"1,391"	463	457	457	486	463	445	422	357	360	0	"5,732"
														
533	Silver Grove Independent	29	74	24	21	24	20	25	28	26	22	17	0	310
														
535	Simpson County	226	729	224	259	254	267	245	313	268	190	170	6	"3,151"
														
536	Somerset Independent	109	376	97	130	108	124	118	169	127	111	114	4	"1,587"
														
537	Southgate Independent	15	56	18	17	19	17	11	0	0	0	0	0	153
														
541	Spencer County	183	524	217	201	211	217	203	206	202	138	153	10	"2,465"
														
545	Taylor County	156	545	239	191	192	223	222	230	187	210	181	0	"2,576"
														
551	Todd County	181	469	178	154	166	160	161	200	170	108	120	1	"2,068"
														
555	Trigg County	136	483	147	170	178	180	212	180	171	141	109	0	"2,107"
														
561	Trimble County	127	397	136	119	120	125	129	151	130	99	100	0	"1,633"
														
565	Union County	186	546	183	137	190	174	175	243	209	165	316	0	"2,524"
														
567	Walton-Verona Independent	85	292	82	91	96	103	89	88	87	93	75	0	"1,181"
														
571	Warren County	932	"2,722"	909	902	902	914	914	"1,027"	889	851	775	27	"11,764"
														
575	Washington County	126	365	136	124	124	147	155	199	165	145	136	9	"1,831"
														
581	Wayne County	238	588	184	179	211	204	216	194	191	193	135	17	"2,550"
														
585	Webster County	147	416	128	130	153	165	163	170	172	144	118	1	"1,907"
														
586	West Point Independent	10	45	12	18	20	10	10	0	0	0	0	0	125
														
591	Whitley County	414	"1,183"	387	369	372	384	379	397	355	279	257	57	"4,833"
														
592	Williamsburg Independent	59	154	48	60	73	67	67	55	57	49	70	7	766
														
593	Williamstown Independent	70	241	68	71	76	75	55	82	60	49	44	0	891
														
595	Wolfe County	102	303	99	116	103	134	120	108	70	99	89	0	"1,343"
														
601	Woodford County	275	839	288	301	309	313	304	367	312	295	246	0	"3,849"
														
														
Grand Total:		"50,815"	"151,546"	"49,028"	"49,368"	"50,827"	"51,980"	"52,551"	"59,023"	"50,546"	"44,286"	"40,859"	"5,674"	"656,503"
														
