,,,,Kentucky Department of Education ,,,,,,,,,
501-Pulaski County,587,1829,567,553,575,608,587,787,699,573,482,28,7875
502-Raceland Independent,70,237,71,66,76,69,90,110,103,89,73,0,1054
505-Robertson County,30,80,24,27,38,41,37,46,35,24,33,0,415
511-Rockcastle County,222,658,215,239,208,242,258,282,249,220,185,0,2978
515-Rowan County,259,735,241,224,210,234,269,343,254,228,179,1,3177
521-Russell County,301,678,214,215,211,201,250,244,218,218,213,16,2979
522-Russell Independent,157,523,179,162,164,176,162,170,185,164,160,0,2202
523-Russellville Independent,103,295,86,75,73,88,110,92,98,87,71,5,1183
524-Science Hill Independent,47,161,49,66,47,55,35,0,0,0,0,0,460
525-Scott County,515,1783,596,554,544,601,572,538,526,448,388,51,7116
531-Shelby County,542,1430,483,479,471,488,515,518,417,415,354,0,6112
533-Silver Grove Independent,23,82,27,25,23,26,23,25,27,15,19,0,315
535-Simpson County,258,712,224,221,247,250,254,282,261,250,157,5,3121
536-Somerset Independent,110,352,124,97,118,112,125,148,129,115,106,6,1542
537-Southgate Independent,25,42,20,20,15,18,16,0,0,0,0,0,156
541-Spencer County,184,562,167,225,206,221,209,253,160,171,122,8,2488
545-Taylor County,168,565,186,232,202,190,226,230,232,190,199,0,2620
551-Todd County,167,514,144,173,157,162,152,187,173,160,95,0,2084
555-Trigg County,159,473,159,151,181,184,179,225,161,151,138,0,2161
561-Trimble County,121,391,111,130,121,119,127,140,133,127,102,0,1622
565-Union County,173,551,182,185,143,195,160,256,189,188,319,0,2541
567-Walton-Verona Independent,112,307,98,94,96,101,109,99,84,83,97,0,1280
571-Warren County,968,2952,902,963,936,953,959,1051,950,826,855,23,12338
575-Washington County,131,382,112,139,121,127,157,213,191,165,128,11,1877
581-Wayne County,223,595,180,182,189,221,203,242,189,166,190,14,2594
585-Webster County,157,431,131,141,138,157,172,172,156,154,133,0,1942
586-West Point Independent,19,49,13,15,18,22,15,0,0,0,0,0,151
591-Whitley County,388,1184,378,382,369,366,393,401,338,315,252,60,4826
592-Williamsburg Independent,60,164,61,44,69,67,70,80,52,58,48,7,780
593-Williamstown Independent,82,238,79,68,76,71,72,62,72,64,44,0,928
595-Wolfe County,100,309,107,95,109,102,126,110,104,69,88,0,1319
601-Woodford County,288,884,275,298,314,324,325,339,338,291,281,0,3957
Grand Total:,52510,154568,49021,49562,50311,51501,52221,60307,52616,45580,41126,5283,664606
,,,,,,,,,,,,,
Kentucky Department of Education,,,,,,,,,,,,,
Office of District Support Services,,,,,,,,,,,,,
Source:  2005-2006 Superintendent's Annual Attendance Report,,,,,,,,,,,,,
Date: 9/26/06,,,,,,,,,,1,,,
