ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Grade 8 Students [State] 2011-12,Grade 8 Students [State] 2010-11,Grade 8 Students [State] 2009-10,Grade 8 Students [State] 2008-09,Grade 8 Students [State] 2007-08,Grade 8 Students [State] 2006-07,Grade 8 Students [State] 2005-06,Grade 8 Students [State] 2004-05,Grade 8 Students [State] 2003-04,Grade 8 Students [State] 2002-03,Grade 8 Students [State] 2001-02,Grade 8 Students [State] 2000-01,Grade 8 Students [State] 1999-00,Grade 8 Students [State] 1998-99,Grade 8 Students [State] 1997-98,Grade 8 Students [State] 1996-97,Diploma Recipients  (**) [State] 2009-10,Diploma Recipients  (**) [State] 2008-09,Diploma Recipients  (**) [State] 2007-08,Diploma Recipients  (**) [State] 2006-07,Diploma Recipients  (**) [State] 2005-06,Diploma Recipients  (**) [State] 2004-05,Diploma Recipients  (**) [State] 2003-04,Diploma Recipients  (**) [State] 2002-03,Diploma Recipients  (**) [State] 2001-02,Diploma Recipients  (**) [State] 2000-01,Diploma Recipients  (**) [State] 1999-00,Diploma Recipients  (**) [State] 1998-99,Diploma Recipients  (**) [State] 1997-98,Diploma Recipients  (**) [State] 1996-97
OKLAHOMA,47321,45737,45268,45149,45831,46050,47812,47270,47258,46805,45745,46276,46999,47933,48030,49065,38503,37219,37630,37100,36497,36227,36799,36694,36852,37458,37646,36556,35213,†
OREGON,43653,42834,43261,43339,43018,43312,44046,44802,44711,44156,42988,42364,42721,42825,42466,42862,34671,35138,34949,33446,32394,32602,32958,32587,31153,29939,30151,28245,27754,27720
PENNSYLVANIA,135598,135876,137072,139173,143406,146393,148957,151250,150652,147829,146138,143638,141714,138766,135882,136746,131182,130658,130298,128603,–,124758,123474,119933,114943,114436,113959,112632,110919,†
RHODE ISLAND,11146,10954,11275,11422,12098,12194,12470,12783,13018,12805,12458,11750,11592,11372,11272,11104,9908,10028,10347,10384,10108,9881,9258,9318,9006,8603,8477,8179,8074,7850
SOUTH CAROLINA,54243,52904,52711,53446,54067,55222,55701,56641,53384,56201,53043,53259,51601,51700,50775,50625,40438,39114,35303,35108,–,33439,33235,32482,31302,30026,31617,31495,31373,†
SOUTH DAKOTA,9139,9275,9251,9446,9248,9510,9576,9715,10082,10051,9997,10303,10618,10841,11370,11377,8162,8123,8582,8346,8589,8585,9001,8999,8796,8881,9278,8757,9140,9247
TENNESSEE,73725,71475,71050,72255,70745,72892,72949,73233,72505,70650,68184,66429,66243,66468,64518,66465,62408,60368,57486,54502,50880,47967,46096,44113,40894,40642,41568,40823,39866,†
TEXAS,360279,354314,346524,343548,332671,338449,335824,329214,324381,316800,310762,304419,300830,299760,292648,290666,280894,264275,252121,241193,240485,239717,244165,238111,225167,215316,212925,203393,197186,†
UTAH,43971,42227,40997,40261,41114,37743,38463,37674,36386,35547,35786,34579,35170,35559,36365,36860,31481,30463,28167,28276,29050,30253,30252,29527,30183,31036,32501,31574,31567,30753
VERMONT,6646,6757,6647,7004,7039,7186,7559,7846,8098,8077,7972,8005,8177,8200,8375,8374,7199,7209,7392,7317,6779,7152,7100,6970,7083,6856,6675,6521,6469,6181
VIRGINIA,93361,91877,92075,92881,93896,95083,95716,96540,95586,92641,88184,87455,85092,85348,82753,80842,81511,79651,77369,73997,69597,69597,72042,72943,66519,66067,65596,63875,62738,60587
WASHINGTON,78891,78448,77206,78902,78219,80022,81440,80918,82274,79857,77933,77160,77543,77340,76664,76033,66046,62764,61625,62801,60213,61094,61274,60435,58311,55081,57597,55418,53679,51609
WEST VIRGINIA,20778,20455,20516,21268,21330,21541,22147,22582,22255,21943,21650,21902,22409,22623,23002,24150,17651,17690,17489,17407,16763,17137,17339,17287,17128,18440,19437,19889,20164,19573
WISCONSIN,61413,61337,61748,62317,64135,65606,66985,67168,68663,67751,66558,67950,67878,68481,66601,66488,64687,65410,65183,63968,63003,63229,–,63272,60575,59341,58545,58312,57607,†
WYOMING,6796,6657,6606,6456,6711,6697,6819,6985,7173,6994,7211,7284,7715,7942,8232,8270,5695,5493,5494,5441,5527,5616,5833,5845,6106,6071,6462,6348,6427,6381
Totals:,3679111,3659405,3651276,3691795,3708955,3765575,3801893,3824670,3809431,3709195,3615939,3538027,3496977,3480371,3415114,3402615,3128022,3039015,3001337,2893045,2649594,2795180,2548128,2719947,2621534,2569200,2553844,2485630,2440048,1170873

Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "State Dropout and Completion Data File" 2005-06 v.1b  2006-07 v.1b  2007-08 v.1b  2008-09 v.1a  2009-10 v.1a; "State Nonfiscal Public Elementary/Secondary Education Survey" 1996-97 v.1c  1997-98 v.1c  1998-99 v.1b  1999-00 v.1b  2000-01 v.1c  2001-02 v.1c  2002-03 v.1b  2003-04 v.1b  2004-05 v.1f  2005-06 v.1b  2006-07 v.1c  2007-08 v.1b  2008-09 v.1c  2009-10 v.1b  2010-11 v.1a  2011-12 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
