,,,,Kentucky Department of Education ,,,,,,,,,
113 Caverna Independent,51,185,77,56,68,55,56,71,55,60,44,16,794
115 Christian County,836,2500,813,789,753,739,741,782,673,617,516,35,9794
121 Clark County,389,1293,406,416,446,435,439,466,407,337,314,33,5381
125 Clay County,332,957,310,329,367,335,322,376,299,216,203,53,4099
131 Clinton County,149,399,121,126,123,122,128,121,136,97,69,0,1591
132 Cloverport Independent,33,73,20,21,20,21,18,17,29,17,24,0,293
133 Corbin Independent,156,468,138,172,182,161,198,187,180,175,176,17,2210
134 Covington Independent,382,1119,379,390,379,306,363,396,269,227,208,159,4577
135 Crittenden County,94,292,116,105,110,112,106,119,97,106,105,0,1362
141 Cumberland County,91,264,101,88,104,115,97,92,74,66,83,0,1175
143 Danville Independent,145,429,136,130,160,166,137,157,131,117,102,55,1865
145 Daviess County,788,2349,730,743,793,857,815,836,873,799,761,190,10534
146 Dawson Springs Independent,46,166,63,44,60,69,40,62,44,62,37,0,693
147 Dayton Independent,97,274,76,90,100,102,93,110,75,67,42,7,1133
149 East Bernstadt Independent,55,169,58,54,43,51,39,0,0,0,0,0,469
151 Edmonson County,146,478,158,141,163,157,164,167,169,126,200,15,2084
152 Elizabethtown Independent,177,528,175,175,200,168,176,213,216,151,175,0,2354
155 Elliott County,102,277,91,97,105,88,90,94,106,69,88,20,1227
156 Eminence Independent,59,138,45,52,26,43,37,30,40,38,213,0,721
157 Erlanger-Elsmere Independent,183,575,205,162,192,154,174,185,180,147,103,0,2260
161 Estill County,193,619,210,234,221,193,220,244,172,169,161,9,2645
162 Fairview Independent,50,148,51,44,66,63,55,60,61,48,47,0,693
165 Fayette County,2716,8293,2741,2783,2785,2764,2658,2986,2360,2207,1903,0,34196
171 Fleming County,161,593,199,207,204,178,208,238,194,169,143,1,2495
175 Floyd County,576,1607,517,500,587,556,519,626,567,471,435,10,6971
176 Fort Thomas Independent,145,438,161,171,197,200,186,213,199,213,183,0,2306
177 Frankfort Independent,56,176,62,60,59,64,65,102,100,80,70,0,894
181 Franklin County,495,1356,449,460,523,411,431,562,404,424,377,0,5892
185 Fulton County,46,171,45,59,77,66,70,92,62,51,52,8,799
186 Fulton Independent,32,130,38,50,45,42,45,37,49,35,40,0,543
191 Gallatin County,102,380,119,106,125,130,104,152,126,75,42,0,1461
195 Garrard County,180,590,206,209,232,197,204,209,183,162,138,0,2510
197 Glasgow Independent,150,491,159,160,157,167,147,148,149,131,113,18,1990
201 Grant County,260,889,296,304,345,310,308,396,300,222,190,41,3861
205 Graves County,349,1033,342,342,351,394,394,415,347,297,314,0,4578
211 Grayson County,301,1037,327,312,314,336,291,364,296,282,289,16,4165
215 Green County,114,388,119,123,129,115,138,152,150,116,114,0,1658
221 Greenup County,239,715,270,270,254,259,275,303,246,219,224,0,3274
225 Hancock County,99,354,128,122,143,149,118,129,119,101,89,0,1551
231 Hardin County,902,2866,940,980,1057,1088,1091,1313,1135,1057,970,164,13563
235 Harlan County,333,1144,391,412,441,393,363,514,380,322,367,0,5060
236 Harlan Independent,74,223,53,62,67,60,72,78,64,66,56,0,875
241 Harrison County,218,755,247,261,250,255,260,256,283,201,208,10,3204
242 Harrodsburg Independent,77,243,81,82,83,77,73,87,54,49,54,0,960
245 Hart County,167,565,172,219,194,184,192,197,191,187,146,0,2414
246 Hazard Independent,63,218,68,79,62,73,83,73,67,86,80,0,952
251 Henderson County,450,1584,539,503,557,578,583,574,624,587,488,0,7067
255 Henry County,137,513,167,169,181,178,166,191,184,143,134,7,2170
261 Hickman County,60,197,61,60,68,69,53,72,60,52,50,0,802
265 Hopkins County,543,1696,548,538,583,583,564,666,512,490,480,0,7203
271 Jackson County,195,528,173,214,199,204,194,208,174,159,138,14,2400
272 Jackson Independent,58,160,35,57,43,52,45,41,37,39,30,0,597
275 Jefferson County,7133,21452,6861,7140,7431,7104,6812,8092,7474,6171,5373,3345,94388
276 Jenkins Independent,54,150,47,39,50,44,36,47,30,45,43,0,585
281 Jessamine County,557,1666,534,568,586,626,541,557,507,428,435,0,7005
285 Johnson County,266,876,297,293,285,319,286,366,287,245,268,0,3788
291 Kenton County,897,2832,971,978,1043,992,1044,1044,991,850,786,82,12510
295 Knott County,199,653,233,257,245,213,202,267,217,210,167,17,2880
301 Knox County,362,1127,391,403,409,398,365,387,393,266,282,69,4852
305 LaRue County,164,547,168,184,222,191,192,197,166,159,167,48,2405
311 Laurel County,681,2183,681,717,707,731,647,873,679,551,506,15,8971
315 Lawrence County,172,586,239,236,262,244,232,267,198,178,187,0,2801
321 Lee County,86,308,91,118,101,100,126,131,85,81,73,0,1300
325 Leslie County,160,493,182,166,171,182,190,200,165,174,163,0,2246
331 Letcher County,269,805,270,269,303,318,298,301,280,253,237,5,3608
335 Lewis County,199,570,214,212,192,201,187,212,190,154,148,0,2479
341 Lincoln County,319,1021,301,343,350,316,311,368,333,286,224,39,4211
345 Livingston County,75,309,105,107,143,139,124,132,118,67,100,0,1419
351 Logan County,252,790,262,273,266,270,263,291,234,240,207,4,3352
354 Ludlow Independent,54,258,62,81,93,93,86,101,79,60,68,0,1035
361 Lyon County,71,223,98,94,96,81,91,66,80,77,67,0,1044
365 Madison County,755,2318,777,789,800,732,687,821,695,614,490,75,9553
371 Magoffin County,195,533,185,216,211,193,183,242,147,161,173,8,2447
375 Marion County,239,741,237,243,242,242,235,251,217,216,195,0,3058
381 Marshall County,342,1070,372,380,397,431,404,394,343,357,306,23,4819
385 Martin County,176,587,198,211,228,190,192,219,161,165,144,0,2471
391 Mason County,236,653,212,219,223,223,228,217,217,205,176,8,2817
392 Mayfield Independent,128,383,110,120,129,132,105,119,109,90,87,0,1512
395 McCracken County,560,1602,537,509,528,525,579,593,546,488,452,28,6947
401 McCreary County,255,758,293,265,265,284,322,274,318,305,194,0,3533
405 McLean County,136,343,132,121,114,127,141,122,134,134,116,29,1649
411 Meade County,322,909,325,377,362,378,353,458,405,371,342,16,4618
415 Menifee County,83,249,89,82,82,108,89,108,103,93,109,0,1195
421 Mercer County,163,537,184,164,181,185,163,206,167,140,155,4,2249
425 Metcalfe County,130,364,152,132,130,139,140,148,110,111,60,17,1633
426 Middlesboro Independent,138,406,144,123,135,124,156,181,189,134,111,16,1857
431 Monroe County,179,490,161,177,171,142,149,159,147,142,129,0,2046
435 Montgomery County,321,946,333,332,349,317,334,330,298,271,222,0,4053
436 Monticello Independent,79,203,56,66,76,71,66,66,49,45,49,0,826
441 Morgan County,179,497,168,187,194,169,196,197,197,169,163,0,2316
445 Muhlenberg County,353,1209,380,385,395,434,408,402,378,367,447,0,5158
446 Murray Independent,136,441,119,132,145,116,112,125,116,94,118,0,1654
451 Nelson County,326,980,356,398,391,390,388,422,370,392,344,65,4822
452 Newport Independent,212,684,217,229,191,179,231,250,175,145,162,0,2675
455 Nicholas County,81,284,87,107,91,96,92,97,86,87,69,11,1188
461 Ohio County,273,922,316,317,311,292,341,359,307,293,266,7,4004
465 Oldham County,753,2280,767,743,753,800,765,727,703,706,638,36,9671
471 Owen County,137,418,153,142,187,176,171,192,150,120,97,8,1951
472 Owensboro Independent,338,997,419,314,313,335,274,310,270,271,253,0,4094
475 Owsley County,61,219,64,57,58,82,57,71,63,69,58,10,869
476 Paducah Independent,279,806,239,253,260,234,199,282,196,200,166,26,3140
477 Paintsville Independent,55,162,52,47,63,50,55,63,93,89,111,1,841
478 Paris Independent,56,192,57,63,50,58,63,51,59,32,53,0,734
481 Pendleton County,177,623,253,214,246,254,244,265,201,225,190,13,2905
485 Perry County,386,1105,379,376,367,373,358,406,330,306,222,89,4697
491 Pike County,825,2457,799,834,808,810,835,855,782,732,615,50,10402
492 Pikeville Independent,86,266,97,97,92,120,106,104,106,85,87,0,1246
493 Pineville Independent,41,175,58,50,55,49,50,57,57,34,38,0,664
495 Powell County,210,604,177,199,201,205,221,222,204,169,150,29,2591
496 Providence Independent,47,101,21,30,38,31,35,30,35,28,27,4,427
501 Pulaski County,577,1703,592,574,644,625,635,752,661,504,489,71,7827
502 Raceland Independent,105,226,66,79,88,77,88,72,75,78,71,0,1025
505 Robertson County,28,86,35,25,45,38,19,40,34,27,19,0,396
511 Rockcastle County,189,695,225,242,262,261,245,259,223,179,195,21,2996
515 Rowan County,221,662,223,268,286,251,232,285,240,235,186,5,3094
521 Russell County,254,630,204,245,228,213,238,267,233,167,137,20,2836
522 Russell Independent,151,481,161,144,168,187,160,165,202,188,163,0,2170
523 Russellville Independent,108,289,104,108,82,101,106,84,97,74,91,4,1248
524 Science Hill Independent,38,172,72,55,52,43,50,0,0,0,0,0,482
525 Scott County,479,1541,514,520,492,477,479,480,481,366,349,29,6207
531 Shelby County,403,1342,419,464,435,421,422,483,419,339,338,34,5519
533 Silver Grove Independent,23,70,22,28,33,23,28,32,28,26,18,0,331
535 Simpson County,225,711,248,249,239,281,282,234,241,183,171,4,3068
536 Somerset Independent,106,360,105,118,135,136,121,139,113,135,99,5,1572
537 Southgate Independent,21,60,23,17,20,17,26,0,0,0,0,0,184
541 Spencer County,122,528,172,180,174,173,160,188,194,171,130,9,2201
545 Taylor County,167,613,199,191,219,220,198,233,201,187,219,0,2647
551 Todd County,162,491,170,146,163,183,173,146,159,115,136,0,2044
555 Trigg County,149,470,185,164,200,152,166,207,145,133,123,0,2094
561 Trimble County,140,379,131,123,123,148,130,129,107,100,96,0,1606
565 Union County,179,547,184,159,184,192,184,202,207,194,293,0,2525
567 Walton-Verona Independent,94,252,80,78,78,91,81,96,72,74,82,0,1078
571 Warren County,866,2680,871,890,907,891,862,1046,871,800,782,10,11476
575 Washington County,156,373,126,147,139,149,132,178,155,167,148,0,1870
581 Wayne County,230,555,203,194,232,206,202,325,190,187,161,13,2698
585 Webster County,135,417,161,155,160,165,182,187,137,146,138,3,1986
586 West Point Independent,22,46,21,10,14,20,22,0,0,0,0,0,155
591 Whitley County,339,1188,368,400,394,364,366,375,365,255,228,44,4686
592 Williamsburg Independent,60,187,63,64,59,50,59,62,74,64,50,10,802
593 Williamstown Independent,75,209,70,71,54,75,71,57,49,37,45,0,813
595 Wolfe County,112,309,92,117,103,112,77,118,108,102,89,0,1339
601 Woodford County,267,864,283,291,296,304,309,347,306,297,265,0,3829
,,,,,,,,,,,,,
Grand Total:,48628,150380,49922,50766,52479,51692,50473,56128,49783,43893,40406,5677,650227
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,1,,,
