,,,,,Kentucky Department of Education ,,,,,,,,,
225.00,Hancock County,105,361,110,119,131,127,150,153,115,112,111,0,1594
,,,,,,,,,,,,,,
231.00,Hardin County,958,3006,906,1005,1036,1109,1149,1357,1174,1075,921,197,13893
,,,,,,,,,,,,,,
235.00,Harlan County,290,1073,374,336,375,400,425,438,344,349,282,0,4686
,,,,,,,,,,,,,,
236.00,Harlan Independent,83,246,76,67,68,55,71,67,72,53,61,0,919
,,,,,,,,,,,,,,
241.00,Harrison County,278,672,232,257,237,281,269,284,256,230,232,12,3240
,,,,,,,,,,,,,,
242.00,Harrodsburg Independent,106,191,84,67,71,80,79,80,70,57,47,0,932
,,,,,,,,,,,,,,
245.00,Hart County,196,574,173,185,177,221,190,207,195,175,170,25,2488
,,,,,,,,,,,,,,
246.00,Hazard Independent,81,195,70,61,63,77,65,72,82,70,67,0,903
,,,,,,,,,,,,,,
251.00,Henderson County,551,1544,564,491,525,523,553,689,598,527,471,0,7036
,,,,,,,,,,,,,,
255.00,Henry County,147,466,185,159,159,181,186,212,157,142,150,11,2155
,,,,,,,,,,,,,,
261.00,Hickman County,76,194,53,60,67,59,74,66,52,64,52,0,817
,,,,,,,,,,,,,,
265.00,Hopkins County,530,1727,550,538,561,562,599,640,537,499,421,0,7164
,,,,,,,,,,,,,,
271.00,Jackson County,206,499,161,177,161,201,191,229,180,147,116,15,2283
,,,,,,,,,,,,,,
272.00,Jackson Independent,49,159,48,62,41,57,41,46,37,26,34,0,600
,,,,,,,,,,,,,,
275.00,Jefferson County,7191,21953,6976,6761,6760,7103,7231,8779,7480,6065,5787,3197,95283
,,,,,,,,,,,,,,
276.00,Jenkins Independent,41,161,33,52,52,39,54,57,47,29,24,0,589
,,,,,,,,,,,,,,
281.00,Jessamine County,538,1715,538,501,580,584,600,680,496,453,423,0,7108
,,,,,,,,,,,,,,
285.00,Johnson County,288,866,268,318,302,285,290,324,284,259,227,0,3711
,,,,,,,,,,,,,,
291.00,Kenton County,955,2879,931,1016,1024,1007,1034,1175,960,934,749,65,12729
,,,,,,,,,,,,,,
295.00,Knott County,201,599,224,214,251,250,226,258,184,177,175,1,2760
,,,,,,,,,,,,,,
301.00,Knox County,409,1120,345,370,403,395,402,443,375,284,268,84,4898
,,,,,,,,,,,,,,
305.00,LaRue County,183,508,182,203,171,191,224,211,191,170,122,58,2414
,,,,,,,,,,,,,,
311.00,Laurel County,703,2215,756,645,685,773,709,890,648,619,480,28,9151
,,,,,,,,,,,,,,
315.00,Lawrence County,194,515,161,219,257,244,252,248,243,194,165,0,2692
,,,,,,,,,,,,,,
321.00,Lee County,85,272,101,94,86,118,102,115,114,93,57,8,1245
,,,,,,,,,,,,,,
325.00,Leslie County,151,467,155,156,177,150,165,191,179,159,122,0,2072
,,,,,,,,,,,,,,
331.00,Letcher County,264,784,269,269,272,266,302,348,263,217,222,10,3486
,,,,,,,,,,,,,,
335.00,Lewis County,206,577,215,190,198,214,191,210,185,164,140,0,2490
,,,,,,,,,,,,,,
341.00,Lincoln County,325,1023,353,353,314,334,337,330,321,320,284,44,4338
,,,,,,,,,,,,,,
345.00,Livingston County,92,265,116,112,105,101,142,149,121,88,93,0,1384
,,,,,,,,,,,,,,
351.00,Logan County,240,808,259,279,270,278,274,300,244,259,216,6,3433
,,,,,,,,,,,,,,
354.00,Ludlow Independent,66,199,88,82,70,77,94,81,80,74,72,0,983
,,,,,,,,,,,,,,
361.00,Lyon County,78,201,69,73,90,89,92,90,87,65,64,0,998
,,,,,,,,,,,,,,
365.00,Madison County,837,2499,750,708,802,789,776,793,721,706,574,132,10087
,,,,,,,,,,,,,,
371.00,Magoffin County,191,553,181,172,176,221,225,239,159,154,122,0,2393
,,,,,,,,,,,,,,
375.00,Marion County,257,750,242,236,263,246,235,291,218,224,186,0,3148
,,,,,,,,,,,,,,
381.00,Marshall County,382,1031,368,358,378,374,408,436,403,324,273,31,4766
,,,,,,,,,,,,,,
385.00,Martin County,190,543,171,183,195,208,227,230,188,158,98,0,2391
,,,,,,,,,,,,,,
391.00,Mason County,239,657,203,197,216,214,215,243,219,176,186,8,2773
,,,,,,,,,,,,,,
392.00,Mayfield Independent,138,402,116,119,114,125,131,135,111,95,81,0,1567
,,,,,,,,,,,,,,
395.00,McCracken County,557,1590,515,551,566,524,556,652,544,490,453,23,7021
,,,,,,,,,,,,,,
401.00,McCreary County,268,733,232,245,300,250,264,355,323,237,247,0,3454
,,,,,,,,,,,,,,
405.00,McLean County,160,346,86,126,126,127,113,129,135,115,113,43,1619
,,,,,,,,,,,,,,
411.00,Meade County,380,1109,305,299,376,430,399,428,347,403,383,15,4874
,,,,,,,,,,,,,,
415.00,Menifee County,80,235,74,84,90,86,87,116,118,99,124,0,1193
,,,,,,,,,,,,,,
421.00,Mercer County,153,520,180,202,193,183,191,187,174,181,157,7,2328
,,,,,,,,,,,,,,
425.00,Metcalfe County,127,364,112,126,151,142,139,174,116,100,88,22,1661
,,,,,,,,,,,,,,
426.00,Middlesboro Independent,141,389,125,126,145,128,135,191,155,119,126,15,1795
,,,,,,,,,,,,,,
431.00,Monroe County,173,482,136,159,167,175,176,165,129,138,126,0,2026
,,,,,,,,,,,,,,
435.00,Montgomery County,362,1050,303,317,366,339,351,394,357,237,224,0,4300
,,,,,,,,,,,,,,
436.00,Monticello Independent,65,226,55,71,62,85,73,72,65,61,43,0,878
,,,,,,,,,,,,,,
441.00,Morgan County,166,492,158,168,168,184,191,175,207,174,140,0,2223
,,,,,,,,,,,,,,
445.00,Muhlenberg County,421,1203,381,384,405,392,395,465,416,331,424,0,5217
,,,,,,,,,,,,,,
446.00,Murray Independent,154,432,149,144,134,142,156,127,140,122,126,0,1826
,,,,,,,,,,,,,,
451.00,Nelson County,331,1005,304,326,362,395,400,544,357,301,337,76,4738
,,,,,,,,,,,,,,
452.00,Newport Independent,203,607,170,196,186,220,188,194,194,135,120,0,2413
,,,,,,,,,,,,,,
455.00,Nicholas County,101,288,80,82,88,107,86,112,94,68,72,15,1193
,,,,,,,,,,,,,,
461.00,Ohio County,318,898,296,327,315,318,323,325,319,262,281,57,4039
,,,,,,,,,,,,,,
465.00,Oldham County,775,2484,810,878,856,821,814,837,790,713,682,47,10507
,,,,,,,,,,,,,,
471.00,Owen County,151,422,159,147,155,146,184,202,149,142,101,3,1961
,,,,,,,,,,,,,,
472.00,Owensboro Independent,407,1021,303,304,285,297,294,346,291,259,237,38,4082
,,,,,,,,,,,,,,
475.00,Owsley County,67,176,75,69,57,58,62,73,52,57,57,9,812
,,,,,,,,,,,,,,
476.00,Paducah Independent,303,757,228,270,208,219,218,265,205,190,148,24,3035
,,,,,,,,,,,,,,
477.00,Paintsville Independent,58,181,55,54,57,58,69,57,95,106,196,0,986
,,,,,,,,,,,,,,
478.00,Paris Independent,55,175,69,60,58,64,55,53,57,44,53,0,743
,,,,,,,,,,,,,,
481.00,Pendleton County,207,585,206,228,254,225,254,239,245,226,162,23,2854
,,,,,,,,,,,,,,
485.00,Perry County,319,1039,343,341,365,371,352,374,308,290,234,90,4426
,,,,,,,,,,,,,,
491.00,Pike County,706,2334,791,792,789,834,818,903,832,686,624,49,10158
,,,,,,,,,,,,,,
492.00,Pikeville Independent,114,275,78,96,100,114,90,124,87,97,92,0,1267
,,,,,,,,,,,,,,
493.00,Pineville Independent,42,157,41,53,47,55,43,45,47,43,48,0,621
,,,,,,,,,,,,,,
495.00,Powell County,205,616,185,197,201,210,205,213,211,179,177,27,2626
,,,,,,,,,,,,,,
496.00,Providence Independent,29,134,36,32,24,28,40,27,34,27,31,0,442
,,,,,,,,,,,,,,
501.00,Pulaski County,609,1796,562,553,613,597,667,773,631,560,531,0,7892
,,,,,,,,,,,,,,
502.00,Raceland Independent,71,231,72,66,74,78,91,97,97,70,72,0,1019
,,,,,,,,,,,,,,
505.00,Robertson County,27,80,30,34,35,34,44,45,27,31,39,0,426
,,,,,,,,,,,,,,
511.00,Rockcastle County,225,653,227,208,233,258,258,286,232,219,193,0,2992
,,,,,,,,,,,,,,
515.00,Rowan County,227,695,202,202,215,269,276,292,248,211,193,1,3031
,,,,,,,,,,,,,,
521.00,Russell County,260,671,207,210,203,242,235,227,241,233,198,16,2943
,,,,,,,,,,,,,,
522.00,Russell Independent,174,514,158,158,162,170,166,192,162,171,174,0,2201
,,,,,,,,,,,,,,
523.00,Russellville Independent,114,278,81,76,97,99,91,111,98,74,90,6,1215
,,,,,,,,,,,,,,
524.00,Science Hill Independent,54,146,61,48,70,47,43,0,0,0,0,0,469
,,,,,,,,,,,,,,
525.00,Scott County,556,1693,528,522,559,564,491,560,489,429,418,50,6859
,,,,,,,,,,,,,,
531.00,Shelby County,431,1391,463,457,457,486,463,445,422,357,360,0,5732
,,,,,,,,,,,,,,
533.00,Silver Grove Independent,29,74,24,21,24,20,25,28,26,22,17,0,310
,,,,,,,,,,,,,,
535.00,Simpson County,226,729,224,259,254,267,245,313,268,190,170,6,3151
,,,,,,,,,,,,,,
536.00,Somerset Independent,109,376,97,130,108,124,118,169,127,111,114,4,1587
,,,,,,,,,,,,,,
537.00,Southgate Independent,15,56,18,17,19,17,11,0,0,0,0,0,153
,,,,,,,,,,,,,,
541.00,Spencer County,183,524,217,201,211,217,203,206,202,138,153,10,2465
,,,,,,,,,,,,,,
545.00,Taylor County,156,545,239,191,192,223,222,230,187,210,181,0,2576
,,,,,,,,,,,,,,
551.00,Todd County,181,469,178,154,166,160,161,200,170,108,120,1,2068
,,,,,,,,,,,,,,
555.00,Trigg County,136,483,147,170,178,180,212,180,171,141,109,0,2107
,,,,,,,,,,,,,,
561.00,Trimble County,127,397,136,119,120,125,129,151,130,99,100,0,1633
,,,,,,,,,,,,,,
565.00,Union County,186,546,183,137,190,174,175,243,209,165,316,0,2524
,,,,,,,,,,,,,,
567.00,Walton-Verona Independent,85,292,82,91,96,103,89,88,87,93,75,0,1181
,,,,,,,,,,,,,,
571.00,Warren County,932,2722,909,902,902,914,914,1027,889,851,775,27,11764
,,,,,,,,,,,,,,
575.00,Washington County,126,365,136,124,124,147,155,199,165,145,136,9,1831
,,,,,,,,,,,,,,
581.00,Wayne County,238,588,184,179,211,204,216,194,191,193,135,17,2550
,,,,,,,,,,,,,,
585.00,Webster County,147,416,128,130,153,165,163,170,172,144,118,1,1907
,,,,,,,,,,,,,,
586.00,West Point Independent,10,45,12,18,20,10,10,0,0,0,0,0,125
,,,,,,,,,,,,,,
591.00,Whitley County,414,1183,387,369,372,384,379,397,355,279,257,57,4833
,,,,,,,,,,,,,,
592.00,Williamsburg Independent,59,154,48,60,73,67,67,55,57,49,70,7,766
,,,,,,,,,,,,,,
593.00,Williamstown Independent,70,241,68,71,76,75,55,82,60,49,44,0,891
,,,,,,,,,,,,,,
595.00,Wolfe County,102,303,99,116,103,134,120,108,70,99,89,0,1343
,,,,,,,,,,,,,,
601.00,Woodford County,275,839,288,301,309,313,304,367,312,295,246,0,3849
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Grand Total:,,50815,151546,49028,49368,50827,51980,52551,59023,50546,44286,40859,5674,656503
